./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1712  , equiv,0.2917  , equiv,0.0971  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,30.3435 , equiv,30.6761 , equiv,0.1103  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1906  , equiv,0.3754  , equiv,0.1023  
./mergedHard/EQ_AddEQ_odd/libB: equiv,2.0091  , equiv,2.5696  , timeout,200.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2620  , equiv,0.4046  , equiv,0.1184  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,0.5328  , not equiv,0.8821  , not equiv,0.1688  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2347  , equiv,0.3904  , equiv,0.1138  
./mergedHard/EQ_AddEQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,200.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libA: equiv,0.3475  , equiv,0.4226  , timeout,200.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libB: not equiv,6.1987  , not equiv,4.0991  , not equiv,0.1409  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1528  , equiv,0.3035  , equiv,0.0970  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,30.3386 , equiv,30.6899 , equiv,0.1104  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.1863  , equiv,0.3933  , equiv,0.1006  
./mergedHard/EQ_ConstEQ_odd/libB: equiv,1.9955  , equiv,2.5825  , timeout,200.0000
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2514  , equiv,0.3727  , equiv,0.1149  
./mergedHard/EQ_ConstEQ_pos/libB: not equiv,0.5387  , not equiv,0.8797  , not equiv,0.1659  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.2374  , equiv,0.3868  , equiv,0.1125  
./mergedHard/EQ_ConstEQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,200.0000
./mergedHard/EQ_ConstEXTRA_prime_sum/libA: equiv,0.3444  , equiv,0.4228  , timeout,200.0000
./mergedHard/EQ_ConstEXTRA_prime_sum/libB: not equiv,6.1289  , not equiv,4.0236  , not equiv,0.1351  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libA: equiv,0.3782  , equiv,0.5182  , equiv,0.2960  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libB: equiv,0.4278  , equiv,0.5934  , equiv,0.2554  
./mergedHard/EQ_LoopMult20EQ_odd/libA: timeout,200.0000, timeout,200.0000, timeout,200.0000
./mergedHard/EQ_LoopMult20EQ_odd/libB: not equiv,1.1150  , not equiv,1.4785  , not equiv,2.3836  
./mergedHard/EQ_LoopMult20EQ_pos/libA: equiv,0.6637  , equiv,0.8311  , equiv,0.3006  
./mergedHard/EQ_LoopMult20EQ_pos/libB: not equiv,0.6159  , not equiv,0.9703  , not equiv,0.2734  
./mergedHard/EQ_LoopMult20EQ_pos2/libA: equiv,0.6336  , equiv,0.8214  , equiv,0.2934  
./mergedHard/EQ_LoopMult20EQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,200.0000
./mergedHard/EQ_LoopMult20EXTRA_prime_sum/libA: timeout,200.0000, timeout,200.0000, timeout,200.0000
./mergedHard/EQ_LoopMult20EXTRA_prime_sum/libB: not equiv,68.2074 , not equiv,80.3348 , not equiv,2.7150  
./mergedHard/EQ_LoopUnreach20EQ_UnchLoop/libA: equiv,0.2485  , equiv,0.3705  , equiv,0.1509  
./mergedHard/EQ_LoopUnreach20EQ_UnchLoop/libB: equiv,0.4235  , equiv,0.6390  , equiv,0.2895  
./mergedHard/EQ_LoopUnreach20EQ_odd/libA: equiv,0.2662  , equiv,0.3970  , equiv,0.1493  
./mergedHard/EQ_LoopUnreach20EQ_odd/libB: not equiv,1.1311  , not equiv,1.5804  , not equiv,2.4462  
./mergedHard/EQ_LoopUnreach20EQ_pos/libA: equiv,0.3421  , equiv,0.4911  , equiv,0.1440  
./mergedHard/EQ_LoopUnreach20EQ_pos/libB: not equiv,0.6253  , not equiv,0.9838  , not equiv,0.2864  
./mergedHard/EQ_LoopUnreach20EQ_pos2/libA: equiv,0.3085  , equiv,0.4602  , equiv,0.1612  
./mergedHard/EQ_LoopUnreach20EQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,200.0000
./mergedHard/EQ_LoopUnreach20EXTRA_prime_sum/libA: equiv,2.2181  , equiv,2.4674  , timeout,200.0000
./mergedHard/EQ_LoopUnreach20EXTRA_prime_sum/libB: not equiv,69.8021 , not equiv,79.1948 , not equiv,2.5936  
./mergedHard/EQ_UnchLoopEQ_Add/libA: equiv,30.3390 , equiv,30.7937 , equiv,0.1026  
./mergedHard/EQ_UnchLoopEQ_Add/libB: equiv,0.1332  , equiv,0.3210  , equiv,0.0846  
./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,30.3387 , equiv,30.8707 , equiv,0.1562  
./mergedHard/EQ_UnchLoopEQ_Const/libB: equiv,0.2360  , equiv,0.4588  , equiv,0.1399  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.7746  , equiv,1.0366  , equiv,0.4761  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libB: equiv,0.7271  , equiv,0.9103  , equiv,0.5646  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.7949  , equiv,1.0740  , equiv,0.4629  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libB: equiv,0.3907  , equiv,0.5983  , equiv,0.2033  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,30.5500 , equiv,30.9876 , equiv,0.1741  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libB: equiv,30.6208 , equiv,31.3442 , equiv,0.3745  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,0.6326  , equiv,0.9332  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_divide/libB: equiv,0.2353  , equiv,0.3500  , equiv,0.1172  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: equiv,0.2247  , equiv,0.4019  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_getSign2/libB: equiv,0.2226  , equiv,0.3354  , equiv,0.1278  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,30.3257 , equiv,30.7110 , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_is_prime1/libB: equiv,0.1721  , equiv,0.2601  , not equiv,0.1094  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA: equiv,60.6647 , equiv,30.9296 , equiv,0.1467  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libB: equiv,2.6960  , equiv,1.8788  , equiv,0.1557  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: equiv,0.6889  , equiv,0.9042  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_ltfive/libB: not equiv,0.5600  , not equiv,0.8592  , not equiv,0.1663  
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: timeout,200.0000, timeout,200.0000, equiv,19.4525 
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libB: equiv,0.3337  , equiv,0.4808  , equiv,0.1578  
./mergedHard/EQ_UnchLoopEQ_multiple/libA: equiv,0.2536  , equiv,0.4112  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_multiple/libB: not equiv,0.6612  , not equiv,0.9830  , not equiv,0.2505  
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: timeout,200.0000, timeout,200.0000, timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_multipleBound/libB: not equiv,0.6579  , not equiv,0.9704  , not equiv,0.2081  
./mergedHard/EQ_UnchLoopEQ_odd/libA: equiv,0.2476  , equiv,0.3509  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_odd/libB: equiv,1.8229  , equiv,2.2131  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_one/libA: equiv,0.3048  , equiv,0.4639  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_one/libB: not equiv,0.5319  , not equiv,0.7974  , not equiv,0.1526  
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: equiv,0.3015  , equiv,0.4534  , equiv,2.7084  
./mergedHard/EQ_UnchLoopEQ_oneBound/libB: not equiv,0.5429  , not equiv,0.8463  , not equiv,0.1396  
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: equiv,0.2789  , equiv,0.4541  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_oneN2/libB: not equiv,0.5369  , not equiv,0.7728  , not equiv,0.1453  
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.2512  , equiv,0.4003  , equiv,0.1201  
./mergedHard/EQ_UnchLoopEQ_pos/libB: not equiv,0.5377  , not equiv,0.8857  , not equiv,0.1675  
./mergedHard/EQ_UnchLoopEQ_pos2/libA: equiv,0.2448  , equiv,0.3958  , equiv,0.1288  
./mergedHard/EQ_UnchLoopEQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,200.0000
./mergedHard/EQ_UnchLoopEXTRA_prime_sum/libA: equiv,60.7375 , equiv,30.9082 , timeout,200.0000
./mergedHard/EQ_UnchLoopEXTRA_prime_sum/libB: not equiv,6.1074  , not equiv,4.4935  , not equiv,0.1397  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.4403  , equiv,0.6113  , equiv,0.2565  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libB: not equiv,0.6089  , not equiv,0.9564  , not equiv,0.1423  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.4315  , equiv,0.6436  , equiv,0.2524  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libB: not equiv,0.4760  , not equiv,0.8334  , not equiv,0.1291  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,30.3418 , equiv,30.7325 , timeout,200.0000
./mergedHard/EQ_UnchLoopNEQ_getSign/libB: not equiv,0.4342  , not equiv,0.7304  , not equiv,0.1381  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.2113  , equiv,0.3348  , equiv,0.1261  
./mergedHard/EQ_divideEQ_UnchLoop/libB: equiv,0.2361  , equiv,0.3882  , timeout,200.0000
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.2808  , equiv,0.3998  , equiv,0.1444  
./mergedHard/EQ_divideEQ_odd/libB: not equiv,0.7533  , not equiv,1.1382  , not equiv,1.1564  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.3109  , equiv,0.3854  , equiv,0.1455  
./mergedHard/EQ_divideEQ_pos/libB: not equiv,0.6353  , not equiv,0.9948  , not equiv,0.2938  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.2845  , equiv,0.4155  , equiv,0.1319  
./mergedHard/EQ_divideEQ_pos2/libB: unknown,0.0000  , unknown,0.0000  , timeout,200.0000
./mergedHard/EQ_divideEXTRA_prime_sum/libA: equiv,0.4003  , equiv,0.4915  , equiv,0.1237  
./mergedHard/EQ_divideEXTRA_prime_sum/libB: not equiv,44.7391 , not equiv,46.3521 , timeout,200.0000
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.2247  , equiv,0.2980  , equiv,0.1311  
